age,height,sex,days_to_goal,activity_level,experience,Exercise
56,178,female,108,4,4,"Hammer Curls, Chest Flyes, Seated Rows, Overhead Press, 3 sets (10-8-6 reps)"
35,178,male,109,1,1,"Hammer Curls, Chest Flyes, Seated Rows, Overhead Press, 3 sets (10-8-6 reps)"
43,172,male,143,4,5,"Hammer Curls, Chest Flyes, Seated Rows, Overhead Press, 3 sets (10-8-6 reps)"
25,185,male,130,4,3,"Hammer Curls, Chest Flyes, Seated Rows, Overhead Press, 3 sets (10-8-6 reps)"
57,170,male,139,2,3,"Hammer Curls, Chest Flyes, Seated Rows, Overhead Press, 3 sets (10-8-6 reps)"
51,187,male,158,2,2,"Hammer Curls, Chest Flyes, Seated Rows, Overhead Press, 3 sets (10-8-6 reps)"
24,169,male,163,3,5,"Hammer Curls, Chest Flyes, Seated Rows, Overhead Press, 3 sets (10-8-6 reps)"
41,171,male,150,1,3,"Hammer Curls, Chest Flyes, Seated Rows, Overhead Press, 3 sets (10-8-6 reps)"
31,159,male,116,1,1,"Hammer Curls, Chest Flyes, Seated Rows, Overhead Press, 3 sets (10-8-6 reps)"
22,183,male,33,3,3,"Hammer Curls, Chest Flyes, Seated Rows, Overhead Press, 3 sets (10-8-6 reps)"
20,150,male,153,3,2,"Hammer Curls, Chest Flyes, Seated Rows, Overhead Press, 3 sets (10-8-6 reps)"
54,163,female,156,4,2,"Hammer Curls, Chest Flyes, Seated Rows, Overhead Press, 3 sets (10-8-6 reps)"
34,172,male,49,2,4,"Hammer Curls, Chest Flyes, Seated Rows, Overhead Press, 3 sets (10-8-6 reps)"
24,161,female,161,3,5,"Hammer Curls, Chest Flyes, Seated Rows, Overhead Press, 3 sets (10-8-6 reps)"
58,169,female,171,1,1,"Hammer Curls, Chest Flyes, Seated Rows, Overhead Press, 3 sets (10-8-6 reps)"
31,173,male,88,4,2,"Hammer Curls, Chest Flyes, Seated Rows, Overhead Press, 3 sets (10-8-6 reps)"
51,175,female,41,4,5,"Hammer Curls, Chest Flyes, Seated Rows, Overhead Press, 3 sets (10-8-6 reps)"
50,166,female,120,2,4,"Hammer Curls, Chest Flyes, Seated Rows, Overhead Press, 3 sets (10-8-6 reps)"
49,188,female,104,2,1,"Hammer Curls, Chest Flyes, Seated Rows, Overhead Press, 3 sets (10-8-6 reps)"
39,186,female,147,4,1,"Hammer Curls, Chest Flyes, Seated Rows, Overhead Press, 3 sets (10-8-6 reps)"
47,188,male,168,3,3,"Hammer Curls, Chest Flyes, Seated Rows, Overhead Press, 3 sets (10-8-6 reps)"
59,174,male,98,4,3,"Hammer Curls, Chest Flyes, Seated Rows, Overhead Press, 3 sets (10-8-6 reps)"
43,175,male,98,3,2,"Hammer Curls, Chest Flyes, Seated Rows, Overhead Press, 3 sets (10-8-6 reps)"
33,152,male,174,3,4,"Hammer Curls, Chest Flyes, Seated Rows, Overhead Press, 3 sets (10-8-6 reps)"
18,168,male,114,1,5,"Hammer Curls, Chest Flyes, Seated Rows, Overhead Press, 3 sets (10-8-6 reps)"
50,165,male,37,2,4,"Hammer Curls, Chest Flyes, Seated Rows, Overhead Press, 3 sets (10-8-6 reps)"
43,180,female,40,2,4,"Hammer Curls, Chest Flyes, Seated Rows, Overhead Press, 3 sets (10-8-6 reps)"
27,179,male,178,4,4,"Hammer Curls, Chest Flyes, Seated Rows, Overhead Press, 3 sets (10-8-6 reps)"
24,185,male,75,5,2,"Hammer Curls, Chest Flyes, Seated Rows, Overhead Press, 3 sets (10-8-6 reps)"
28,163,male,99,3,5,"Hammer Curls, Chest Flyes, Seated Rows, Overhead Press, 3 sets (10-8-6 reps)"
54,162,male,125,3,3,"Hammer Curls, Chest Flyes, Seated Rows, Overhead Press, 3 sets (10-8-6 reps)"
53,183,male,111,2,3,"Hammer Curls, Chest Flyes, Seated Rows, Overhead Press, 3 sets (10-8-6 reps)"
59,164,female,164,3,5,"Hammer Curls, Chest Flyes, Seated Rows, Overhead Press, 3 sets (10-8-6 reps)"
44,183,female,173,4,3,"Hammer Curls, Chest Flyes, Seated Rows, Overhead Press, 3 sets (10-8-6 reps)"
36,185,female,39,3,1,"Hammer Curls, Chest Flyes, Seated Rows, Overhead Press, 3 sets (10-8-6 reps)"
45,166,female,125,1,3,"Hammer Curls, Chest Flyes, Seated Rows, Overhead Press, 3 sets (10-8-6 reps)"
56,167,male,36,4,2,"Hammer Curls, Chest Flyes, Seated Rows, Overhead Press, 3 sets (10-8-6 reps)"
20,186,male,32,4,3,"Hammer Curls, Chest Flyes, Seated Rows, Overhead Press, 3 sets (10-8-6 reps)"
32,182,female,50,3,5,"Hammer Curls, Chest Flyes, Seated Rows, Overhead Press, 3 sets (10-8-6 reps)"
40,151,female,163,1,5,"Hammer Curls, Chest Flyes, Seated Rows, Overhead Press, 3 sets (10-8-6 reps)"
35,189,female,133,5,3,"Hammer Curls, Chest Flyes, Seated Rows, Overhead Press, 3 sets (10-8-6 reps)"
59,185,female,108,3,2,"Hammer Curls, Chest Flyes, Seated Rows, Overhead Press, 3 sets (10-8-6 reps)"
58,163,female,148,1,5,"Hammer Curls, Chest Flyes, Seated Rows, Overhead Press, 3 sets (10-8-6 reps)"
